OBJECTID,CSA2010,trav45_10,trav45_11,trav45_12,trav45_13,trav45_14,trav45_15,trav45_16,trav45_17,trav45_18,trav45_19,CSA2020,trav45_20,trav45_21,travl45_22,Shape__Area,Shape__Length
41,Oldtown/Middle East,22.9561200923788,24.9886415265788,30.0639658848614,30.8185404339251,30.2937,29.8037612428455,26.0420801905518,22.9420186113099,22.7489893421536,25.64464853,Oldtown/Middle East,25.47425474,26.40990371,24.6848739495798,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,19.1972920696325,25.0837721397798,21.1205073995772,20.2833530106257,21.4101,20.5329153605016,18.0240320427236,20.8400974025974,20.6211912718694,20.53625838,Greektown/Bayview,18.96972656,19.28512053,19.8506956226671,89894372.2113037,47825.8629266244
43,Patterson Park North & East,15.0509074811864,16.1142676767677,16.4403351632476,15.2432126696833,17.0466,18.9549598584841,19.0314037079077,20.3261734287987,21.1530427517058,22.04735778,Patterson Park North & East,20.51282051,19.28763441,19.2328568843857,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,25.8430319307669,22.7702896472613,22.1022727272727,19.5195195195195,21.3576,19.231767453932,20.4858299595142,22.1052631578947,24.2487046632124,25.98039216,Penn North/Reservoir Hill,32.8311221,30.6980057,30.7786483839373,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,23.0288461538462,22.4146224146224,24.6290028638375,27.7735849056604,24.4479,25.4368447329006,22.8519195612431,21.9595556821418,18.937575030012,19.41345234,Pimlico/Arlington/Hilltop,19.08284024,18.94835096,14.495254529767,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,21.9161676646707,29.8820445609436,32.3266986959506,30.7134220072551,24.6124,22.0876585928489,19.5700110253583,19.5402298850574,18.9738107963655,21.10298255,Poppleton/The Terraces/Hollins Market,22.79704377,22.62415696,16.8094218415418,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,30.1334481274214,31.5504547423127,31.7644619531412,34.1372549019608,34.0987,34.4344553627431,33.8932596215182,34.4553979321952,32.6778783958602,32.43847875,Sandtown-Winchester/Harlem Park,32.73086699,26.64315486,25.614489003881,23672092.8682861,20987.1433066354
48,South Baltimore,14.3345771144279,15.4320987654321,13.5275754422477,13.0692167577413,14.9198,13.0672268907563,12.4755189972581,13.0089374379344,12.0947388856532,14.03782414,South Baltimore,12.52828636,13.54782228,12.3711340206186,46353935.4255981,68440.02582664
49,Southeastern,24.1042345276873,22.2310440651052,19.1577973160574,17.5414364640884,15.3096,14.9118118653127,17.89594053745,16.4769647696476,17.3380928097909,24.41917944,Southeastern,21.38195777,22.59800154,24.3838685586258,111251478.472229,102291.480547698
50,Southern Park Heights,26.3111502864698,31.3321756387993,30.3269447576099,30.6252852578731,28.3092,31.0508796956729,33.259532595326,36.791953414505,34.2024109896271,33.15273478,Southern Park Heights,27.45419743,20.95469256,20.742471443406,27876227.5908203,24052.221372193
51,Southwest Baltimore,23.7636599370254,26.0911363199385,27.4058965325422,27.1705184259838,24.7371,22.2181146025878,20.8713461180413,20.4921259842519,19.8049512378094,23.14915921,Southwest Baltimore,20.30511388,16.06000441,18.3542857142857,37766068.8365479,28355.563581391
52,The Waverlies,23.28141783029,21.787557728878,24.0130602552686,25.344105326152,21.5402,25.9293113954906,27.2699386503067,25.0510352872557,24.1060419235511,25.10822511,The Waverlies,20.05909389,20.94046008,18.9820130118638,20383750.5437012,18733.826879757
53,Upton/Druid Heights,29.2967124427799,31.8572656921754,31.7132442284326,27.4566473988439,27.735,25.9596359319351,20.8319127173542,20.0501253132832,22.4137931034482,24.18383518,Upton/Druid Heights,21.28899554,26.28591699,30.0182149362477,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,24.5290272971934,18.0692011960701,19.3507588532884,17.9336413271735,21.4626,20.0084602368866,22.0949957591179,20.7807570977918,21.3847818247385,20.10869565,Pigtown/Carroll Park,18.2132964,14.70258137,16.2874251497006,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,19.1502655420181,20.0842241658568,19.3844138834316,22.4312086381052,23.9381,22.0493358633776,21.2386156648452,22.795216741405,21.7063492063492,19.6253725,Westport/Mount Winans/Lakeland,21.1409396,18.30251304,13.4892981582877,45494092.9501953,42573.1244161851
