OBJECTID,CSA2010,pubtran11,pubtran12,pubtran13,pubtran14,pubtran15,pubtran16,pubtran17,pubtran18,pubtran19,CSA2020,pubtran20,pubtran21,pubtran22,Shape__Area,Shape__Length
19,Greater Charles Village/Barclay,20.9784294374736,20.4273134112892,21.3924244747738,21.3291,21.53983089,23.3879614,22.5026131103479,22.4394273127753,21.70055957,Greater Charles Village/Barclay,21.95682131,22.21179415,17.2594282646625,27051213.4559937,26454.2692113332
20,Greater Govans,30.4297862560331,29.3135872120357,27.9677113010446,26.3412,23.68878946,24.26123665,23.302888175759,24.8285994123408,23.59027419,Greater Govans,21.13319012,18.55142703,12.6258904446082,22698495.7178955,22982.125714974
21,Greater Mondawmin,25.6886611146701,25.3077154007805,21.1415816326531,25.5559,30.88875078,29.48527224,28.3739104298166,30.7604671033893,29.38483548,Greater Mondawmin,28.90515058,26.42395772,24.2918454935622,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,6.3026351534909,5.14043455219926,6.03753059559423,7.35098,7.045454545,6.422535211,6.23044096728307,5.92814371257485,6.352520131,Greater Roland Park/Poplar Hill,5.185185185,4.739174906,3.69406867845994,56688145.1790161,39862.7497953117
23,Greater Rosemont,34.5755693581781,32.5382974597634,33.3265802269044,31.3678,31.15928716,33.17056156,30.9618758972722,31.2735257214554,33.82502543,Greater Rosemont,35.44068427,30.24338624,35.0674373795761,42204384.5406494,32559.0762211492
24,Greenmount East,39.2574050896955,38.6689132266217,44.2014032191498,39.678,39.76784179,43.23404255,42.5448185395714,38.6800699300699,32.50211327,Oliver/Johnson Square,26.82215743,21.6,14.5411764705882,19072287.8240967,20797.4734578598
25,Hamilton,10.1503199880935,9.35922923994494,9.30529904816025,10.2256,9.915055653,9.267338649,8.00901577761081,7.7992277992278,7.916257769,Hamilton,8.244325768,9.683961467,7.35972023525672,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,24.0161453077699,20.4458945078847,28.3147158814959,26.5812,27.11330935,24.58386684,23.6519607843137,17.9856115107913,16.75013912,Harbor East/Little Italy,9.219858156,13.85480573,6.79137860919073,10215859.0836182,18552.4075815937
27,Harford/Echodale,8.35997631734754,6.74483258793666,6.26925811803745,9.0471,11.76040906,12.30636833,11.9674485399712,10.774209012464,7.962308598,Hamilton Hills,7.597386886,5.781230103,4.41356309060589,65360039.1698608,40019.1854001996
28,Highlandtown,8.78036437246964,9.74805745231928,11.2517257248044,9.44146,10.13416387,8.863198459,7.18954248366013,7.73361976369495,9.130957149,Highlandtown,9.496657491,8.620689655,6.50551013153217,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,22.465302281816,18.7457396046353,13.6814744801512,13.0904,14.06642478,11.86736475,13.1420638593243,15.9135559921414,17.99340556,Howard Park/West Arlington,16.97990927,13.71098266,11.9119119119119,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,5.91661151555261,4.53821656050955,4.83252365124009,5.62228,6.265727227,7.01551285,7.64411027568922,7.77645659928656,7.822533567,Inner Harbor/Federal Hill,7.0140808,6.34829029,4.34052757793765,24995836.2615967,43415.0595478862
31,Lauraville,6.98027314112291,7.65251516232608,7.52669039145907,8.61978,9.151239958,9.747622531,10.6583629893238,10.5772615276311,9.876751646,Greater Lauraville,10.48561151,8.347659981,5.12588299221156,49665744.2354736,34419.676527973
32,Loch Raven,16.6208251473477,14.5089586420585,17.2056384742952,20.0575,23.89056159,23.45430108,24.6020447780509,21.1585866885784,20.90274811,Loch Raven,16.79053124,12.62590438,6.80936647033472,44147812.3265381,29314.3346718286
33,Madison/East End,45.3020134228188,39.6911519198664,38.0370682392586,40.2179,33.04883831,34.41098317,34.1888175985334,31.7528735632183,30.75651095,Madison/East End,29.91900905,25.14792899,25.3442340791738,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,9.17708333333333,9.10981697171381,8.87971089313371,9.70588,10.59225513,10.32556141,8.80901287553648,9.02263592130315,9.031724708,Hampden/Remington,8.799287146,7.408668028,7.04320868048828,62441489.2398071,43152.625699222
35,Midtown,18.2414192055534,19.9647532729104,19.7931121483537,22.2314,22.43885946,25.70658037,27.0073784722222,28.5255746531372,28.88060474,Midtown,25.36039033,21.68874172,15.6370858158252,23823949.9294434,25020.0969698082
36,Midway/Coldstream,28.7836322869955,25.0825991189427,26.4455264759586,28.8157,35.3221957,32.34105108,32.6356864136218,31.203288490284,30.09861933,Midway/Coldstream,28.87877534,28.77604167,23.0130486358244,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,6.79460580912863,5.69933920704846,7.0578231292517,9.86587,10.976,17.94554455,19.0754827384435,20.10235996588,16.86606361,Morrell Park/Violetville,13.9542592,12.06505295,8.92036753445636,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,4.87558843308675,7.64973958333333,9.76207137858643,7.78098,7.198806416,8.312958435,6.79611650485436,6.88391038696537,5.841018884,Mount Washington/Coldspring,7.029478458,7.6,6.75216899283289,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,9.32663050668078,10.8126080595824,10.0658909294827,9.91205,10.99819017,11.68907072,12.1443238486359,12.5724791401499,12.12252565,North Baltimore/Guilford/Homeland,10.66381156,9.345659396,5.80154405086285,74923987.6937256,42904.2221443544
40,Northwood,16.1928799149841,16.6874913230598,14.7844827586207,13.5449,12.01995767,13.6851795,15.5122235157159,16.6435890335087,19.05483604,Northwood,18.83637369,17.30311932,10.9024587949203,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,41.2085415720127,40.4264392324094,38.4615384615385,35.0285,35.85445626,29.49583168,26.9506084466714,27.8941565600882,32.95655245,Oldtown/Middle East,29.94579946,33.3562586,28.7370347773032,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,20.5361416945907,19.2177589852008,19.7402597402597,19.6205,23.37662338,21.38406765,18.952922077922,17.8297621387851,20.33313021,Greektown/Bayview,13.50097656,15.12884456,14.7032238626092,89894372.2113037,47825.8629266244
43,Patterson Park North & East,21.3699494949495,20.5865356833285,18.552036199095,14.796,15.85249694,14.9451381,12.1983558737735,12.4773708397159,13.32659544,Patterson Park North & East,10.86762075,8.73655914,6.36431226765799,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,30.2265557786063,28.0397727272727,25.7057057057057,24.7241,24.81183493,29.23076923,28.2456140350877,25.3886010362694,27.29618163,Penn North/Reservoir Hill,30.44749269,28.65622032,26.2016543706685,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,23.6652236652237,28.3519916688362,28.9559748427673,30.3544,30.05491762,27.05667276,23.9532896610652,21.2184873949579,20.11475932,Pimlico/Arlington/Hilltop,21.53846154,20.84629745,17.6421636615811,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,34.7313237221494,40.0137268359643,36.7593712212817,25.7752,24.22145329,26.35060639,25.287356321839,23.1961517904863,27.12436691,Poppleton/The Terraces/Hollins Market,33.42808414,32.67933783,16.8658698539177,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,41.8362927674318,42.6912709931578,42.9411764705882,43.7462,46.66527284,43.58919838,44.7463332531858,43.6998706338939,41.52684564,Sandtown-Winchester/Harlem Park,38.52019204,32.44629689,25.664217071792,23672092.8682861,20987.1433066354
48,South Baltimore,6.67254556143445,5.43704474505723,3.59744990892532,4.46056,5.18907563,6.169212691,6.09731876861966,6.93069306930693,6.823942289,South Baltimore,4.217239251,3.107901072,2.30160191493279,46353935.4255981,68440.02582664
49,Southeastern,23.3425962683605,16.9366034243406,14.0883977900552,16.2847,12.72047034,10.80617496,12.520325203252,11.3207547169811,14.53287197,Southeastern,11.20921305,13.52805534,10.1957886959734,111251478.472229,102291.480547698
50,Southern Park Heights,36.5914165219548,34.6786922209696,34.961204929256,35.7246,33.02425107,35.25215252,37.0301746956061,38.7720773759461,36.04231166,Southern Park Heights,32.54033361,23.48975189,21.071513991868,27876227.5908203,24052.221372193
51,Southwest Baltimore,32.9936550663334,38.1791210828852,35.6443889235894,34.2926,33.99260628,34.2580525,35.255905511811,33.6271567891973,35.61913081,Southwest Baltimore,36.48474431,29.78160159,23.680427192442,37766068.8365479,28355.563581391
52,The Waverlies,24.0423797881011,27.010982487385,25.9126271693597,25.9409,27.90981109,28.65030675,24.7010790317876,24.5067817509247,24.5825603,The Waverlies,21.53644123,19.48579161,16.0060975609756,20383750.5437012,18733.826879757
53,Upton/Druid Heights,38.4350816852966,41.6767922235723,36.4574731626755,38.8034,40.83893945,33.82202523,31.610275689223,34.514687100894,33.85103011,Upton/Druid Heights,27.49400069,32.74210713,35.1513019000704,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,17.0012815036309,15.5986509274874,12.5577488450231,14.1064,12.98646362,15.94571671,20.070977917981,19.2210602235845,18.88586957,Pigtown/Carroll Park,18.2132964,15.56303779,6.96774193548387,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,19.0152251376741,16.3392272429601,16.6492511320098,21.5623,20.18975332,16.61202186,18.8340807174887,19.1666666666666,16.85823755,Westport/Mount Winans/Lakeland,17.88111218,18.39734471,12.0213281628696,45494092.9501953,42573.1244161851
